Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,0.1u,C_0402_1005Metric,152.55,-114.1724,0.0,top
C11,0.1u,C_0402_1005Metric,145.0416,-112.5468,-90.0,top
C12,0.1u,C_0402_1005Metric,151.29,-124.942,180.0,top
C13,0.1u,C_0402_1005Metric,145.0,-123.35,-90.0,top
C14,10u,C_0603_1608Metric,155.1,-121.9945,90.0,top
C15,10u,C_0603_1608Metric,139.86,-91.668,90.0,top
C4,0.1u,C_0402_1005Metric,152.7632,-81.9144,0.0,top
C5,0.1u,C_0402_1005Metric,147.226,-81.9144,180.0,top
C6,0.1u,C_0402_1005Metric,152.55,-92.684,0.0,top
C7,0.1u,C_0402_1005Metric,145.0416,-91.1325,-90.0,top
C8,0.1u,C_0402_1005Metric,152.4,-103.45,180.0,top
C9,0.1u,C_0402_1005Metric,147.0,-103.4028,180.0,top
J2,Conn_01x20_PinSocket,PinSocket_1x20_P2.54mm_Vertical,137.32,-98.78,90.0,top
J4,Conn_01x20_PinSocket,PinSocket_1x20_P2.54mm_Vertical,162.72,-98.78,90.0,top
J8,Conn_01x02_PinSocket,PinSocket_1x02_P2.54mm_Vertical,156.37,-125.45,-90.0,top
R15,10k,R_0402_1005Metric,139.86,-94.714,-90.0,top
U4,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,150.02,-77.55,90.0,top
U5,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,149.7825,-88.3,90.0,top
U6,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,149.7825,-99.05,90.0,top
U7,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,149.7825,-109.8,90.0,top
U8,TXS0108EPWR,TSSOP-20_4.4x6.5mm_P0.65mm,149.7825,-120.55,90.0,top
