Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C28, C3",0402,4,4.7u,
"C10, C11, C12, C13, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C29, C4, C5, C6, C7, C8, C9",0402,22,0.1u,
"C14, C15, C2",0603,3,10u,
"C30, C31",0402,2,15p,
"D1, D2",Nexperia_CFP3_SOD-123W,2,PMEG3010ER,
D3,LED_XZMDKCBDDG45S-9,1,XZMDKCBDDG45S-9,
"J1, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_PinHeader,
"J10, J11",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
J2,PinSocket_1x20_P2.54mm_Vertical,1,Conn_01x21_PinSocket,
J4,PinSocket_1x20_P2.54mm_Vertical,1,Conn_01x20_PinSocket,
J5,GCT_USB4105-GF-A,1,USB4105-G-FA,
J8,PinSocket_1x02_P2.54mm_Vertical,1,Conn_01x02_Socket,
J9,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"R1, R10, R12, R2",0402,4,5.1k,
"R11, R13, R14",0402,3,680,
"R15, R6",0402,2,10k,
R3,0402,1,10,
"R4, R5",0402,2,27,
"R7, R8, R9",0402,3,1k,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
U1,SOT-23-5,1,TLV74311P,
U10,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,1,RP2350_80QFN,
U2,SC-74-6_1.55x2.9mm_P0.95mm,1,IP4234CZ6,
U3,SOT-23-5,1,AP2112K-3.3,
"U4, U5, U6, U7, U8",TSSOP-20_4.4x6.5mm_P0.65mm,5,TXS0108EPW,
U9,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
Y1,XTAL_ABM8-272-T3,1,ABM8-272-T3,
